Sector;Grupo;Sendero;Distancia (m);Parcela;Árbol;Especie;DAP (cm);HT (m);HC (m);LD; AB (m2)
I;1;2;150;1;1;Encino;5.1; 4.91;1.79;0;0.0020
I;1;2;150;1;2;Encino;9.4; 7.77;3.07;0;0.0069
I;1;2;150;1;3;Roble;25.6; 11.91;6.79;1;0.0515
I;1;2;150;1;4;Nance;6.7; 7.58;;0;0.0035
I;1;2;150;1;5;Roble;23.3; 11.94;6.06;0;0.0426
I;1;2;170;3;1;Encino;10.3; 8.80;3.99;0;0.0083
I;1;2;170;3;2;Encino;5.6; 3.99;1.92;0;0.0025
I;1;2;170;3;3;Encino;6.6; 6.03;0.9;0;0.0034
I;1;2;170;3;4;Encino;5.7; 3.20;1.85;0;0.0026
I;1;2;170;3;5; Encino;6.7; 6.09;2.77;0;0.0035
I;1;2;170;3;6;Roble;15.8;8.99;2.16;1;0.0196
I;1;2;190;5;1;Encino;35;10.51;5.82;1;0.0962
I;1;2;190;5;2;Encino;27.4;11.39;2.65;0;0.0590
I;1;2;190;5;3;Nance;8.4; 3.47;;0;0.0055
I;1;2;190;5;4;Nance;7.7; 5.42;;0;0.0047
I;1;2;160;2;1;Encino;36;8.91;3.12;1;0.1018
I;1;2;160;2;2;Carbón;5.7;3.32;;0;0.0026
I;1;2;160;2;3;Encino;9.3;6.98;2.99;0;0.0068
I;1;2;180;4;1;Roble;8.1;5.51;1.88;0;0.0052
I;1;2;180;4;2; Roble;8;3.37;1;0;0.0050
I;1;2;180;4;3;Roble;37;12.85;5;1;0.1075
I;1;2;180;4;4;Roble;21.3;11.97;5.48;0;0.0356
I;1;2;180;4;5;Encino;27.5;8.43;1.95;0;0.0594
I;1;2;180;4;6;Encino;22;8.07;3.09;0;0.0380
I;1;2;180;4;7;Roble;5.6;2.61;2.27;0;0.0025
I;1;2;180;4;8;Encino;6.5;5.66;4.8;0;0.0033
I;2;5;130;1;1;Encino;35;7.07;1.73;1;0.0962
I;2;5;130;1;2;Encino;7.5;3.71;1;0;0.0044
I;2;5;140;2;1;Encino;9.6;4.72;1.8;0;0.0072
